0	1	2	3	4	uc_smillie2020_imm	covid19_yoshida2022_airways	nslc_kim2020_old	nslc_kim2020	crc_zhang2020	siv_quinn2023	tb_alexandria_4wk	tb_alexandria_10wk	tb_alexandria_4bwk	ibd_predict	nslc_liu2022	covid19_grant2021	covid19_ren2021	nslc_guo2018	crc_zhang2018	nslc_lambrechts2018	ild_adams2020	ild_fabre2022	ild_habermann2019	tb_cai2022	ced_atalsy2022	crc_pelka2021
Epithelial cell							Epithelial cells+Epithelial cells+Undetermined,Epithelial cells+Epithelial cells+tS1,Epithelial cells+Epithelial cells+tS2,Epithelial cells+Epithelial cells+tS3,Epithelial cells+Epithelial cells+nan	tS1,tS2,tS3,Epithelial cells									Epi-Secretory			respiratory epithelial cells,lower quality epithelial cell,epithelial cell	Assorted_Epithelial_MT-tRNAs	Epithelial	MUC5AC+ High,Proliferating Epithelial Cells,SCGB3A2+ SCGB1A1+,SCGB3A2+,MUC5B+,KRT5-/KRT17+,			cE09 (Best4)
Epithelial cell	Gut absorptive cell																									
Epithelial cell	Gut absorptive cell	Enterocyte			Enterocytes,Immature Enterocytes 1,Immature Enterocytes 2,Enterocyte Progenitors,Best4+ Enterocytes				hE02_Enterocyte-GUCA2B																	cE05 (Enterocyte 2),cE04 (Enterocyte 1)
Epithelial cell	Glandular epithelial cell																									
Epithelial cell	Glandular epithelial cell	Goblet cell																			Goblet_B,Goblet_A,Goblet_MT-tRNAs					cE08 (Goblet),cE06 (Immature Goblet),cE07 (Goblet/Enterocyte)
Epithelial cell	Glandular epithelial cell	Goblet cell	Intestine Goblet cell		Immature Goblet,Goblet				hE03_Goblet-SPINK4,hE04_Goblet-REG4,																	
Epithelial cell	Glandular epithelial cell	Goblet cell	Respiratory Goblet cell			Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 1,Goblet 2 inflammatory																				
Epithelial cell	Glandular epithelial cell	Secretory cell				Secretory,Secretory GALNT4+																				
Epithelial cell	Glandular epithelial cell	Secretory cell	Club cell			Club	Epithelial cells+Epithelial cells+Club	Club			club cell					Club, Basal cells				secretory club cells	Club,Club_CellCycle					
Epithelial cell	Glandular epithelial cell	Enteroendocrine cell			Enteroendocrine																					cE11 (Enteroendocrine)
Epithelial cell	Glandular epithelial cell	M cell			M cells																					
Epithelial cell	Endo-epithelial cell																									
Epithelial cell	Endo-epithelial cell	Intestinal tuft cell			Tuft																					
